,prices,hour,day,week,month,weekend,rsi,roc
12374,89.0,14,4,21,4,0,50.929945236364816,-5.813815241945073
12375,82.51,15,4,21,4,0,46.7206766477943,17.489999999999995
12376,74.93,16,4,21,4,0,41.87060233723352,32.47724610255023
12377,72.63,17,4,21,4,0,40.345583710281026,47.74444204619038
12378,70.96,18,4,21,4,0,39.104606680249496,31.10679611650486
12379,69.04,19,4,21,4,0,37.51271947259355,24.37287764267718
12380,65.72,20,4,21,4,0,34.590832040830804,26.157303370786515
12381,64.65,21,4,21,4,0,33.57929125945054,21.645861107744512
12382,70.0,22,4,21,4,0,43.49377165753703,6.579474175897512
12383,57.07,23,4,21,4,0,30.353566005133146,21.42365413740878
12384,53.81,0,5,21,4,1,27.811430260001273,24.168545659526483
12385,46.04,1,5,21,4,1,22.436939718377417,33.314020857473935
12386,33.92,2,5,21,4,1,16.47686797117899,48.387096774193544
12387,21.56,3,5,21,4,1,12.434658423961338,66.65119876256767
12388,13.91,4,5,21,4,1,10.518161199374191,80.12857142857143
12389,25.96,5,5,21,4,1,30.70553190279179,54.51200280357455
12390,28.29,6,5,21,4,1,34.15247741380803,47.42612897230998
12391,53.53,7,5,21,4,1,60.01054309762701,-16.26846220677672
12392,55.55,8,5,21,4,1,61.46388497881785,-63.76768867924527
12393,63.1,9,5,21,4,1,66.86502844440369,-192.67161410018556
12394,71.18,10,5,21,4,1,71.91942621034877,-411.71818835370243
12395,78.35,11,5,21,4,1,75.84325671761087,-201.81047765793525
12396,79.01,12,5,21,4,1,76.21045148812422,-179.28596677271122
12397,66.05,13,5,21,4,1,56.112219225381885,-23.38875396973659
12398,62.35,14,5,21,4,1,51.46264290464624,-12.241224122412248
12399,57.26,15,5,21,4,1,45.27015431794515,9.255150554675124
12400,55.64,16,5,21,4,1,43.28108575223748,21.831975273953365
12401,52.7,17,5,21,4,1,39.50133537855956,32.73771537970644
12402,51.08,18,5,21,4,1,37.34485890364904,35.349955701809904
12403,54.6,19,5,21,4,1,45.15216696318813,17.335352006056013
12404,50.07,20,5,21,4,1,37.86555397982828,19.695268644747397
12405,50.09,21,5,21,4,1,37.918632819149195,12.521830247991609
12406,64.0,22,5,21,4,1,63.757918376084824,-15.025161754133714
12407,60.05,23,5,21,4,1,55.838325974216076,-13.946869070208717
12408,37.7,0,6,21,5,1,30.291046580266794,26.194205168363343
12409,26.96,1,6,21,5,1,23.96770412535122,50.62271062271062
12410,16.12,2,6,21,5,1,19.130761568814663,67.80507289794289
12411,10.47,3,6,21,5,1,16.98662691992311,79.09762427630265
12412,10.0,4,6,21,5,1,16.798684110013227,84.375
12413,7.82,5,6,21,5,1,15.824188479694016,86.977518734388
12414,6.0,6,6,21,5,1,14.955050634877054,84.08488063660478
12415,10.42,7,6,21,5,1,26.68956538709493,61.350148367952514
12416,16.41,8,6,21,5,1,40.12490434634288,-1.7990074441687294
12417,40.96,9,6,21,5,1,68.5090049442463,-291.2129894937918
12418,53.37,10,6,21,5,1,75.54213931798205,-433.7
12419,57.17,11,6,21,5,1,77.39704097904625,-631.0741687979539
12420,62.66,12,6,21,5,1,80.02361324818291,-944.3333333333334
12421,57.24,13,6,21,5,1,70.3400554009831,-449.3282149712092
12422,43.47,14,6,21,5,1,51.383597164060795,-164.89945155393053
12423,26.91,15,6,21,5,1,36.99531704937964,34.3017578125
12424,14.98,16,6,21,5,1,29.785147300573115,71.93179688963838
12425,17.98,17,6,21,5,1,33.68520662947104,68.54993877907994
12426,22.42,18,6,21,5,1,39.63959716359545,64.21959782955634
12427,48.14,19,6,21,5,1,62.83593239265861,15.89797344514326
12428,48.86,20,6,21,5,1,63.30958792531443,-12.399355877616749
12429,50.05,21,6,21,5,1,64.2141663455885,-85.9903381642512
12430,73.79,22,6,21,5,1,77.49619838310298,-392.59012016021364
12431,57.0,23,6,21,5,1,58.9326633865733,-217.01890989988874
12432,35.0,0,0,22,5,0,42.80886856652946,-56.11061552185548
12433,24.0,1,0,22,5,0,36.7723823704507,50.14540922309929
12434,20.0,2,0,22,5,0,34.64087024186027,59.06672124437168
12435,11.97,3,0,22,5,0,30.39638714777095,76.08391608391608
12436,10.74,4,0,22,5,0,29.726878584939215,85.44518227402087
12437,22.43,5,0,22,5,0,43.83555533884983,60.64912280701754
12438,44.96,6,0,22,5,0,61.64490408755501,-28.45714285714286
12439,72.07,7,0,22,5,0,73.69088899499495,-200.29166666666663
12440,72.1,8,0,22,5,0,73.70185673916475,-260.49999999999994
12441,90.04,9,0,22,5,0,79.75747245353362,-652.2138680033418
12442,102.07,10,0,22,5,0,82.921912607589,-850.3724394785846
12443,150.08,11,0,22,5,0,90.23356500247327,-569.1038787338387
12444,114.09,12,0,22,5,0,65.14445955063093,-153.75889679715303
12445,105.02,13,0,22,5,0,60.09159690679448,-45.719439433883736
12446,96.51,14,0,22,5,0,55.26527932875941,-33.855755894590864
12447,88.0,15,0,22,5,0,50.4070840107805,2.265659706796986
12448,87.35,16,0,22,5,0,50.00418702789362,14.421475458019007
